station,station_name,valid(UTC),tmpf,sknt,vis1_coeff,vis2_coeff,vis3_coeff,ptype,precip,
MDW,Chicago Midway,2022-01-01 06:00,41,13,0.251,0.351,,NP,0,
MDW,Chicago Midway,2022-01-01 07:00,41,14,0.361,0.42,,NP,0,
MDW,Chicago Midway,2022-01-01 08:00,40,10,0.522,0.532,,NP,0,
MDW,Chicago Midway,2022-01-01 09:00,40,13,0.181,0.205,,NP,0,
MDW,Chicago Midway,2022-01-01 10:00,40,12,0.102,0.117,,NP,0,
MDW,Chicago Midway,2022-01-01 11:00,40,15,0.128,0.156,,NP,0,
MDW,Chicago Midway,2022-01-01 12:00,40,14,0.182,0.234,,NP,0,
MDW,Chicago Midway,2022-01-01 13:00,39,14,0.289,0.303,,?1,0,
MDW,Chicago Midway,2022-01-01 14:00,39,17,0.195,0.256,,?1,0,
MDW,Chicago Midway,2022-01-01 15:00,38,14,0.294,0.386,,?3,0,
MDW,Chicago Midway,2022-01-01 16:00,37,17,0.274,0.232,,?1,0,
MDW,Chicago Midway,2022-01-01 17:00,37,14,0.061,0.085,,NP,0,
MDW,Chicago Midway,2022-01-01 18:00,36,18,0.066,0.081,,NP,0,
MDW,Chicago Midway,2022-01-01 19:00,35,17,1.139,1.269,,S-,0,
MDW,Chicago Midway,2022-01-01 20:00,33,16,2.63,2.809,,S ,0,
MDW,Chicago Midway,2022-01-01 21:00,33,18,1.429,1.716,,S ,0,
MDW,Chicago Midway,2022-01-01 22:00,32,17,3.169,3.878,,S ,0,
MDW,Chicago Midway,2022-01-01 23:00,33,19,1.149,1.149,,S-,0,
MDW,Chicago Midway,2022-01-02 00:00,32,19,5.149,6.558,,S ,0,
MDW,Chicago Midway,2022-01-02 01:00,33,18,0.478,0.595,,S-,0,
MDW,Chicago Midway,2022-01-02 02:00,32,21,1.027,1.048,,S-,0,
MDW,Chicago Midway,2022-01-02 03:00,32,18,1.271,1.507,,S-,0,
MDW,Chicago Midway,2022-01-02 04:00,32,17,0.986,1.162,,S-,0,
